index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,counted_pct
0,100654,2010,14.7,2,36.5,16.1,33,5.3,12.5,14.6,15.7,1.5,40.9,17.2,36.4,5.6,17.2,11.1,99.7
1,100663,2011,22.3,2.9,34.2,19.2,42.6,10.5,7.9,13.1,,,,,,,,,56
2,100690,,,,,,,,,,,,,,,,,,100
3,100706,2010,12.8,4.7,42.8,18.3,43,14.5,10.2,11.7,0,0,0,0,0,0,0,0,43.1
4,100724,,,,,,,,,,,,,,,,,,88
5,100751,2008,4.1,1.3,67.8,13.2,60.6,8,9.9,8,45.8,5.2,23,7.9,61.5,8.5,6.3,5.5,75.9
6,100760,,,,,,,,,,,,,,,,,,66.7
7,100830,,,,,,,,,,,,,,,,,,43.8
8,100858,2010,35.5,3.1,39.7,12.1,66.4,9.6,5,7.6,64.2,6.3,11.6,7.6,72.2,9.7,2,4.6,75.5
9,100937,,,,,,,,,,,,,,,,,,88.9
10,101028,,,,,,,,,,,,,,,,,,40.2
11,101073,,,,,,,,,,,,,,,,,,74.5
12,101116,,,,,,,,,,,,,,,,,,23
13,101143,,,,,,,,,,,,,,,,,,43.6
14,101161,,,,,,,,,,,,,,,,,,54.6
15,101189,,,,,,,,,,,,,,,,,,49.3
16,101240,,,,,,,,,,,,,,,,,,59.4
17,101286,,,,,,,,,,,,,,,,,,53.7
18,101295,,,,,,,,,,,,,,,,,,49.5
19,101301,,,,,,,,,,,,,,,,,,51.4
20,101365,,,,,,,,,,,,,,,,,,60.6
21,101435,,,,,,,,,,,,,,,,,,72
22,101462,,,,,,,,,,,,,,,,,,26.5
23,101480,2010,8.5,2.6,42.1,16.4,32,9.5,11.3,13.8,46.4,4.3,16.1,8.9,54.2,7.1,6.7,7.6,63.2
24,101499,,,,,,,,,,,,,,,,,,50.8
25,101505,,,,,,,,,,,,,,,,,,33.6
26,101514,,,,,,,,,,,,,,,,,,40.9
27,101541,,,,,,,,,,,,,,,,,,78.2
28,101569,,,,,,,,,,,,,,,,,,53.6
29,101587,,,,,,,,,,,,,,,,,,58.6
30,101602,,,,,,,,,,,,,,,,,,52.7
31,101648,,,,,,,,,,,,,,,,,,81.7
32,101675,,,,,,,,,,,,,,,,,,98.1
33,101693,,,,,,,,,,,,,,,,,,63.4
34,101709,,,,,,,,,,,,,,,,,,98.2
35,101736,,,,,,,,,,,,,,,,,,51.5
36,101879,,,,,,,,,,,,,,,,,,59.6
37,101897,,,,,,,,,,,,,,,,,,54.6
38,101912,,,,,,,,,,,,,,,,,,80.2
39,101949,,,,,,,,,,,,,,,,,,63.1
40,101958,,,,,,,,,,,,,,,,,,19
41,101994,,,,,,,,,,,,,,,,,,35.9
42,102030,,,,,,,,,,,,,,,,,,36.8
43,102049,,,,,,,,,,,,,,,,,,84.4
44,102058,,,,,,,,,,,,,,,,,,
45,102067,,,,,,,,,,,,,,,,,,51.9
46,102076,,,,,,,,,,,,,,,,,,62
47,102094,2011,17.2,3.2,37.4,15.2,37.8,8.1,11.1,11.3,35.9,6.4,16.2,11.5,44,9.9,4.8,9.5,46.3
48,102234,,,,,,,,,,,,,,,,,,86.5
49,102261,,,,,,,,,,,,,,,,,,37.8
50,102270,,,,,,,,,,,,,,,,,,72.6
51,102298,,,,,,,,,,,,,,,,,,87.4
52,102313,,,,,,,,,,,,,,,,,,38.5
53,102368,,,,,,,,,,,,,,,,,,32.8
54,102377,,,,,,,,,,,,,,,,,,31.5
55,102429,,,,,,,,,,,,,,,,,,57.5
56,102553,,,,,,,,,,,,,,,,,,54.7
57,102614,2010,7.7,3.2,34,9.8,24.8,8.5,10.3,7.2,24.7,6,15.9,9.5,32.9,10.6,4.9,7.4,67.8
58,102632,,,,,,,,,,,,,,,,,,15.1
59,102669,,,,,,,,,,,,,,,,,,21.8
60,102845,,,,,,,,,,,,,,,,,,23.2
61,103361,,,,,,,,,,,,,,,,,,16.6
62,103644,,,,,,,,,,,,,,,,,,62.4
63,103893,,,,,,,,,,,,,,,,,,
64,103909,,,,,,,,,,,,,,,,,,
65,103927,,,,,,,,,,,,,,,,,,
66,103945,,,,,,,,,,,,,,,,,,
67,104090,,,,,,,,,,,,,,,,,,
68,104151,,,,,,,,,,,,,,,,,,59.4
69,104160,,,,,,,,,,,,,,,,,,38.5
70,104179,,,,,,,,,,,,,,,,,,73.5
71,104188,,,,,,,,,,,,,,,,,,46.8
72,104346,,,,,,,,,,,,,,,,,,19.5
73,104364,,,,,,,,,,,,,,,,,,69.3
74,104425,,,,,,,,,,,,,,,,,,30.5
75,104577,,,,,,,,,,,,,,,,,,43.5
76,104586,,,,,,,,,,,,,,,,,,77.9
77,104708,,,,,,,,,,,,,,,,,,32.8
78,104717,,,,,,,,,,,,,,,,,,8.9
79,104805,,,,,,,,,,,,,,,,,,
