index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,cohort_size
0,100654,2010.0,14.7,2.0,36.5,16.1,33.0,5.3,12.5,14.6,15.7,1.5,40.9,17.2,36.4,5.6,17.2,11.1,882.0
1,100663,2011.0,22.3,2.9,34.2,19.2,42.6,10.5,7.9,13.1,,,,,,,,,1376.0
2,100690,,,,,,,,,,,,,,,,,,3.0
3,100706,2010.0,12.8,4.7,42.8,18.3,43.0,14.5,10.2,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0
4,100724,,,,,,,,,,,,,,,,,,1351.0
5,100751,2008.0,4.1,1.3,67.8,13.2,60.6,8.0,9.9,8.0,45.8,5.2,23.0,7.9,61.5,8.5,6.3,5.5,4438.0
6,100760,,,,,,,,,,,,,,,,,,594.0
7,100830,,,,,,,,,,,,,,,,,,536.0
8,100858,2010.0,35.5,3.1,39.7,12.1,66.4,9.6,5.0,7.6,64.2,6.3,11.6,7.6,72.2,9.7,2.0,4.6,4165.0
9,100937,,,,,,,,,,,,,,,,,,449.0
10,101028,,,,,,,,,,,,,,,,,,276.0
11,101073,,,,,,,,,,,,,,,,,,122.0
12,101116,,,,,,,,,,,,,,,,,,19.0
13,101143,,,,,,,,,,,,,,,,,,520.0
14,101161,,,,,,,,,,,,,,,,,,1043.0
15,101189,,,,,,,,,,,,,,,,,,293.0
16,101240,,,,,,,,,,,,,,,,,,1523.0
17,101286,,,,,,,,,,,,,,,,,,953.0
18,101295,,,,,,,,,,,,,,,,,,1086.0
19,101301,,,,,,,,,,,,,,,,,,415.0
20,101365,,,,,,,,,,,,,,,,,,9.0
21,101435,,,,,,,,,,,,,,,,,,257.0
22,101462,,,,,,,,,,,,,,,,,,228.0
23,101480,2010.0,8.5,2.6,42.1,16.4,32.0,9.5,11.3,13.8,46.4,4.3,16.1,8.9,54.2,7.1,6.7,7.6,1252.0
24,101499,,,,,,,,,,,,,,,,,,264.0
25,101505,,,,,,,,,,,,,,,,,,1301.0
26,101514,,,,,,,,,,,,,,,,,,1432.0
27,101541,,,,,,,,,,,,,,,,,,79.0
28,101569,,,,,,,,,,,,,,,,,,1044.0
29,101587,,,,,,,,,,,,,,,,,,285.0
30,101602,,,,,,,,,,,,,,,,,,433.0
31,101648,,,,,,,,,,,,,,,,,,229.0
32,101675,,,,,,,,,,,,,,,,,,486.0
33,101693,,,,,,,,,,,,,,,,,,207.0
34,101709,,,,,,,,,,,,,,,,,,483.0
35,101736,,,,,,,,,,,,,,,,,,834.0
36,101879,,,,,,,,,,,,,,,,,,1023.0
37,101897,,,,,,,,,,,,,,,,,,671.0
38,101912,,,,,,,,,,,,,,,,,,451.0
39,101949,,,,,,,,,,,,,,,,,,432.0
40,101958,,,,,,,,,,,,,,,,,,114.0
41,101994,,,,,,,,,,,,,,,,,,105.0
42,102030,,,,,,,,,,,,,,,,,,556.0
43,102049,,,,,,,,,,,,,,,,,,711.0
44,102058,,,,,,,,,,,,,,,,,,150.0
45,102067,,,,,,,,,,,,,,,,,,923.0
46,102076,,,,,,,,,,,,,,,,,,597.0
47,102094,2011.0,17.2,3.2,37.4,15.2,37.8,8.1,11.1,11.3,35.9,6.4,16.2,11.5,44.0,9.9,4.8,9.5,1418.0
48,102234,,,,,,,,,,,,,,,,,,380.0
49,102261,,,,,,,,,,,,,,,,,,25.0
50,102270,,,,,,,,,,,,,,,,,,378.0
51,102298,,,,,,,,,,,,,,,,,,125.0
52,102313,,,,,,,,,,,,,,,,,,278.0
53,102368,,,,,,,,,,,,,,,,,,1667.0
54,102377,,,,,,,,,,,,,,,,,,796.0
55,102429,,,,,,,,,,,,,,,,,,1006.0
56,102553,,,,,,,,,,,,,,,,,,952.0
57,102614,2010.0,7.7,3.2,34.0,9.8,24.8,8.5,10.3,7.2,24.7,6.0,15.9,9.5,32.9,10.6,4.9,7.4,523.0
58,102632,,,,,,,,,,,,,,,,,,49.0
59,102669,,,,,,,,,,,,,,,,,,40.0
60,102845,,,,,,,,,,,,,,,,,,128.0
61,103361,,,,,,,,,,,,,,,,,,26.0
62,103644,,,,,,,,,,,,,,,,,,59.0
63,103893,,,,,,,,,,,,,,,,,,
64,103909,,,,,,,,,,,,,,,,,,414.0
65,103927,,,,,,,,,,,,,,,,,,481.0
66,103945,,,,,,,,,,,,,,,,,,
67,104090,,,,,,,,,,,,,,,,,,56.0
68,104151,,,,,,,,,,,,,,,,,,7308.0
69,104160,,,,,,,,,,,,,,,,,,954.0
70,104179,,,,,,,,,,,,,,,,,,6231.0
71,104188,,,,,,,,,,,,,,,,,,30.0
72,104346,,,,,,,,,,,,,,,,,,514.0
73,104364,,,,,,,,,,,,,,,,,,5.0
74,104425,,,,,,,,,,,,,,,,,,481.0
75,104577,,,,,,,,,,,,,,,,,,818.0
76,104586,,,,,,,,,,,,,,,,,,399.0
77,104708,,,,,,,,,,,,,,,,,,2235.0
78,104717,,,,,,,,,,,,,,,,,,112.0
79,104805,,,,,,,,,,,,,,,,,,34.0
80,105118,,,,,,,,,,,,,,,,,,253.0
81,105145,,,,,,,,,,,,,,,,,,240.0
82,105154,,,,,,,,,,,,,,,,,,2417.0
83,105163,,,,,,,,,,,,,,,,,,8.0
84,105172,,,,,,,,,,,,,,,,,,16.0
85,105206,,,,,,,,,,,,,,,,,,254.0
86,105297,,,,,,,,,,,,,,,,,,
87,105330,2011.0,30.7,3.8,29.5,19.4,51.5,11.5,4.4,11.5,62.5,4.6,8.6,8.0,68.2,7.8,2.8,2.9,2877.0
88,105349,,,,,,,,,,,,,,,,,,149.0
89,105428,,,,,,,,,,,,,,,,,,734.0
90,105516,,,,,,,,,,,,,,,,,,328.0
91,105525,,,,,,,,,,,,,,,,,,2204.0
92,105534,,,,,,,,,,,,,,,,,,
93,105543,,,,,,,,,,,,,,,,,,960.0
94,105589,,,,,,,,,,,,,,,,,,69.0
95,105659,,,,,,,,,,,,,,,,,,627.0
96,105668,,,,,,,,,,,,,,,,,,343.0
97,105747,,,,,,,,,,,,,,,,,,996.0
98,105792,,,,,,,,,,,,,,,,,,424.0
99,105899,,,,,,,,,,,,,,,,,,57.0
100,106041,,,,,,,,,,,,,,,,,,1467.0
101,106102,,,,,,,,,,,,,,,,,,206.0
102,106148,,,,,,,,,,,,,,,,,,450.0
103,106245,,,,,,,,,,,,,,,,,,812.0
104,106306,,,,,,,,,,,,,,,,,,359.0
105,106342,,,,,,,,,,,,,,,,,,143.0
106,106397,2010.0,35.7,3.0,34.9,10.6,58.8,9.2,4.7,7.5,50.9,6.6,15.0,6.5,59.1,9.8,3.5,5.3,2877.0
107,106412,,,,,,,,,,,,,,,,,,786.0
108,106449,,,,,,,,,,,,,,,,,,808.0
109,106458,2011.0,18.5,4.1,29.8,11.7,36.2,6.8,7.4,8.8,45.0,9.9,14.7,7.1,53.0,11.7,4.5,4.7,1655.0
110,106467,,,,,,,,,,,,,,,,,,1348.0
111,106485,2010.0,11.1,1.4,20.5,16.1,29.3,6.4,10.9,11.4,10.8,5.7,11.4,13.1,13.1,8.0,0.0,0.0,504.0
112,106625,,,,,,,,,,,,,,,,,,451.0
113,106704,,,,,,,,,,,,,,,,,,1763.0
114,106713,,,,,,,,,,,,,,,,,,37.0
115,106795,,,,,,,,,,,,,,,,,,180.0
116,106810,,,,,,,,,,,,,,,,,,
117,106883,,,,,,,,,,,,,,,,,,234.0
118,106980,,,,,,,,,,,,,,,,,,456.0
119,106999,,,,,,,,,,,,,,,,,,271.0
120,107044,,,,,,,,,,,,,,,,,,960.0
121,107071,,,,,,,,,,,,,,,,,,784.0
122,107080,,,,,,,,,,,,,,,,,,365.0
123,107141,,,,,,,,,,,,,,,,,,361.0
124,107318,,,,,,,,,,,,,,,,,,284.0
125,107327,,,,,,,,,,,,,,,,,,333.0
126,107460,,,,,,,,,,,,,,,,,,471.0
127,107512,,,,,,,,,,,,,,,,,,372.0
128,107521,,,,,,,,,,,,,,,,,,172.0
129,107549,,,,,,,,,,,,,,,,,,305.0
130,107558,,,,,,,,,,,,,,,,,,178.0
131,107585,,,,,,,,,,,,,,,,,,537.0
132,107600,,,,,,,,,,,,,,,,,,129.0
133,107619,,,,,,,,,,,,,,,,,,204.0
134,107637,,,,,,,,,,,,,,,,,,313.0
135,107664,,,,,,,,,,,,,,,,,,996.0
136,107725,,,,,,,,,,,,,,,,,,236.0
137,107743,,,,,,,,,,,,,,,,,,144.0
138,107877,,,,,,,,,,,,,,,,,,132.0
139,107974,,,,,,,,,,,,,,,,,,173.0
140,107983,,,,,,,,,,,,,,,,,,481.0
141,107992,,,,,,,,,,,,,,,,,,190.0
142,108092,,,,,,,,,,,,,,,,,,572.0
143,108232,,,,,,,,,,,,,,,,,,700.0
144,108250,,,,,,,,,,,,,,,,,,5.0
145,108667,,,,,,,,,,,,,,,,,,202.0
146,108807,,,,,,,,,,,,,,,,,,923.0
147,108852,,,,,,,,,,,,,,,,,,91.0
148,109040,,,,,,,,,,,,,,,,,,1842.0
149,109208,,,,,,,,,,,,,,,,,,1389.0
150,109350,,,,,,,,,,,,,,,,,,1009.0
151,109651,,,,,,,,,,,,,,,,,,101.0
152,109785,,,,,,,,,,,,,,,,,,848.0
153,109819,,,,,,,,,,,,,,,,,,1569.0
154,109907,,,,,,,,,,,,,,,,,,163.0
155,110060,,,,,,,,,,,,,,,,,,46.0
156,110097,,,,,,,,,,,,,,,,,,789.0
157,110185,,,,,,,,,,,,,,,,,,156.0
158,110219,,,,,,,,,,,,,,,,,,
159,110246,,,,,,,,,,,,,,,,,,1199.0
160,110334,,,,,,,,,,,,,,,,,,857.0
161,110361,,,,,,,,,,,,,,,,,,489.0
162,110370,,,,,,,,,,,,,,,,,,186.0
163,110404,,,,,,,,,,,,,,,,,,231.0
164,110413,,,,,,,,,,,,,,,,,,424.0
165,110422,2010.0,27.0,1.4,50.9,10.7,74.6,5.0,2.1,5.9,78.7,2.1,4.6,2.4,85.7,3.4,0.4,1.0,4419.0
166,110468,,,,,,,,,,,,,,,,,,
167,110486,2010.0,17.6,1.4,43.3,20.5,43.3,5.2,12.7,15.1,63.8,4.3,7.6,9.8,68.4,7.2,3.2,5.2,859.0
168,110495,2010.0,23.1,3.4,40.9,17.0,30.9,10.6,18.1,11.6,70.9,3.1,7.0,4.7,72.2,4.4,2.9,3.6,910.0
169,110510,2011.0,1.2,0.7,69.3,14.5,37.1,4.0,23.4,13.4,61.5,4.2,20.4,4.9,73.7,6.9,3.1,4.9,1656.0
170,110529,2010.0,19.2,1.5,54.9,15.1,56.4,6.4,12.8,10.5,70.4,5.6,11.4,5.0,78.3,7.7,2.0,2.8,3414.0
